MASSEY FERGUSON  MF 165-185-285 (8V);OZ1180;EX;;40,00;32,00;8,50;45°
MASSEY FERGUSON  MF 165 (8V) -  HAM;OZ1181;IN;;53,00;40,00;8,70;45°
MASSEY FERGUSON  MF 165 (8V) -  HAM;OZ1182;EX;;45,00;32,00;10,70;45°
MASSEY FERGUSON  MF 240 (6V);OZ1183;IN;;42,00;33,50;7,50;30°
MASSEY FERGUSON  MF 240 (6V);OZ1184;EX;;37,00;29,00;8,00;30°
MASSEY FERGUSON  MF 276 - 1103;OZ1185;IN;;51,30;39,15;7,15;
MASSEY FERGUSON  MF 276 - 1104;OZ1186;EX;;42,70;32,85;9,50;
MAZDA  E2200, BONGO 2000-2200 (8V);OZ1187;IN;;43,00;35,00;8,00;45°
MAZDA  E2200, BONGO 2000-2200 (8V);OZ1188;EX;;38,00;30,00;8,00;45°
MERCEDES  302 (OM 327) (12V);OZ1189;IN;;56,15;45,00;10,10;45°
MERCEDES  302 (OM 327) (12V);OZ1190;EX;;46,15;36,00;10,10;45°
MERCEDES  302 S  (OM 360) (12V);OZ1191;IN;;56,15;45,00;8,30;45°
MERCEDES  302 S  (OM 360) (12V);OZ1192;EX;;46,15;36,00;10,10;45°
MERCEDES  303-403 V6 E.M. OM 401 12V;OZ1193;IN;;61,15;51,10;9,30;30°
MERCEDES  303-403 V6 E.M. OM 401 12V;OZ1194;EX;;53,15;43,10;10,10;45°
MERCEDES  303-403 V6 Y.M. OM 421 12V;OZ1195;IN;;60,15;51,10;9,30;30°
MERCEDES  303-403 V6 Y.M. OM 421 12V;OZ1196;EX;;53,15;43,10;10,10;45°
MERCEDES  303-403 V8 Y.M. OM 422 16V;OZ1197;IN;;60,15;51,10;9,30;30°
MERCEDES  303-403 V8 Y.M. OM 422 16V;OZ1198;EX;;53,15;43,10;10,10;45°
MERCEDES  OM 352-353  (12V);OZ1199;IN;;45.15;37,00;8,70;45°
